Movie,year,time_minute,imdb_rating,metascore,vote,gross_earning,certificates,genres,ProductionBudget,DomesticGross,WorldwideGross,Movie_year
No Time to Die,2021,163 min,7.6,68        ,"107,163",-,PG-13,"
Action, Adventure, Thriller            ",250000000,99509477,447809477,No Time to Die 2021
Dune,2021,155 min,8.3,75        ,"84,636",-,PG-13,"
Action, Adventure, Drama            ",165000000,0,116751980,Dune 2021
Dune,1984,137 min,6.4,41        ,"142,157",$30.93M,PG-13,"
Action, Adventure, Sci-Fi            ",165000000,0,116751980,Dune 1984
Black Widow,2021,134 min,6.8,67        ,"246,603",-,PG-13,"
Action, Adventure, Sci-Fi            ",200000000,183651655,376955389,Black Widow 2021
Shang-Chi and the Legend of the Ten Rings,2021,132 min,7.9,71        ,"109,552",-,PG-13,"
Action, Adventure, Fantasy            ",150000000,218070859,414270859,Shang-Chi and the Legend of the Ten Rings 2021
Spectre,2015,148 min,6.8,60        ,"407,514",$200.07M,PG-13,"
Action, Adventure, Thriller            ",300000000,200074175,879500760,Spectre  2015
Casino Royale,2006,144 min,8.0,80        ,"613,873",$167.45M,PG-13,"
Action, Adventure, Thriller            ",102000000,167365000,594420283,Casino Royale 2006
Casino Royale,1967,131 min,5.1,48        ,"28,917",-,Approved,"
Comedy            ",102000000,167365000,594420283,Casino Royale 1967
Venom,2018,112 min,6.7,35        ,"414,787",$213.52M,PG-13,"
Action, Adventure, Sci-Fi            ",116000000,213511408,853530899,Venom 2018
Skyfall,2012,143 min,7.8,81        ,"658,977",$304.36M,PG-13,"
Action, Adventure, Thriller            ",200000000,304360277,1110526981,Skyfall 2012
Quantum of Solace,2008,106 min,6.6,58        ,"424,649",$168.37M,PG-13,"
Action, Adventure, Thriller            ",230000000,169368427,591692078,Quantum of Solace 2008
The Suicide Squad,2021,132 min,7.3,72        ,"224,344",-,R,"
Action, Adventure, Comedy            ",185000000,55800219,167385739,The Suicide Squad 2021
Titanic,1997,194 min,7.8,75        ,"1,096,676",$659.33M,PG-13,"
Drama, Romance            ",200000000,659363944,2207986545,Titanic 1997
Cinderella,2021,113 min,4.2,41        ,"33,916",-,PG,"
Adventure, Comedy, Family            ",95000000,201151353,542351353,Cinderella  2021
Cinderella,2015,105 min,6.9,67        ,"169,105",$201.15M,PG,"
Adventure, Drama, Family            ",95000000,201151353,542351353,Cinderella  2015
Cinderella,1950,74 min,7.3,85        ,"152,045",$85.00M,G,"
Animation, Family, Fantasy            ",95000000,201151353,542351353,Cinderella 1950
Blade Runner 2049,2017,164 min,8.0,81        ,"502,751",$92.05M,R,"
Action, Drama, Mystery            ",185000000,92054159,258759329,Blade Runner 2049 2017
The Matrix,1999,136 min,8.7,73        ,"1,767,660",$171.48M,R,"
Action, Sci-Fi            ",65000000,173396389,465377200,The Matrix 1999
The Wolf of Wall Street,2013,180 min,8.2,75        ,"1,271,608",$116.90M,R,"
Biography, Comedy, Crime            ",100000000,116949183,389918903,The Wolf of Wall Street 2013
Zodiac,2007,157 min,7.7,78        ,"499,163",$33.08M,R,"
Crime, Drama, Mystery            ",85000000,33080084,83080084,Zodiac 2007
Snake Eyes,2021,121 min,5.4,43        ,"24,928",-,PG-13,"
Action, Adventure, Fantasy            ",73000000,55591409,103891409,Snake Eyes 2021
Avengers: Endgame,2019,181 min,8.4,78        ,"947,812",$858.37M,PG-13,"
Action, Adventure, Drama            ",400000000,858373000,2797800564,Avengers: Endgame 2019
Tenet,2020,150 min,7.4,69        ,"427,885",$58.46M,PG-13,"
Action, Sci-Fi, Thriller            ",205000000,57929000,361875852,Tenet 2020
Gladiator,2000,155 min,8.5,67        ,"1,403,705",$187.71M,R,"
Action, Adventure, Drama            ",103000000,187683805,457552323,Gladiator 2000
Interstellar,2014,169 min,8.6,74        ,"1,624,116",$188.02M,PG-13,"
Adventure, Drama, Sci-Fi            ",165000000,188017894,651994868,Interstellar 2014
The Dark Knight,2008,152 min,9.0,84        ,"2,428,117",$534.86M,PG-13,"
Action, Crime, Drama            ",185000000,533720947,998615789,The Dark Knight 2008
Wonder Woman 1984,2020,151 min,5.4,60        ,"233,753",$46.37M,PG-13,"
Action, Adventure, Fantasy            ",200000000,46530051,166089247,Wonder Woman 1984 2020
1917,2019,119 min,8.3,78        ,"497,055",$159.23M,R,"
Action, Drama, War            ",100000000,159227644,370603379,1917 2019
The Hunger Games,2012,142 min,7.2,68        ,"874,403",$408.01M,PG-13,"
Action, Adventure, Sci-Fi            ",80000000,408010692,677923379,The Hunger Games 2012
Die Another Day,2002,133 min,6.1,56        ,"212,253",$160.94M,PG-13,"
Action, Adventure, Thriller            ",142000000,160942139,431942139,Die Another Day 2002
Inception,2010,148 min,8.8,74        ,"2,178,860",$292.58M,PG-13,"
Action, Adventure, Sci-Fi            ",160000000,292576195,728582465,Inception 2010
The Departed,2006,151 min,8.5,85        ,"1,244,747",$132.38M,R,"
Crime, Drama, Thriller            ",90000000,132384315,289660619,The Departed 2006
Spider-Man,2002,121 min,7.3,73        ,"728,050",$403.71M,PG-13,"
Action, Adventure, Sci-Fi            ",139000000,403706375,821706375,Spider-Man 2002
Reminiscence,2021,116 min,5.9,46        ,"36,510",-,PG-13,"
Mystery, Romance, Sci-Fi            ",67972729,3900193,15451008,Reminiscence 2021
Ghostbusters,1984,105 min,7.8,71        ,"374,701",$238.63M,PG,"
Action, Comedy, Fantasy            ",144000000,128350574,229008658,Ghostbusters 1984
Ghostbusters,2016,117 min,6.5,60        ,"213,424",$128.34M,PG-13,"
Action, Comedy, Fantasy            ",144000000,128350574,229008658,Ghostbusters 2016
Fight Club,1999,139 min,8.8,66        ,"1,948,261",$37.03M,R,"
Drama            ",65000000,37030102,100820947,Fight Club 1999
